                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.3581,                 4.4162,                 3.1242,                0.42392,                0.02838,                0.01399,                0.00417,                 3.2894,                 3.3233,                 1.8249,              0.0033251,              0.0033251,              0.0033251
                      2,                  2.896,                 2.6178,                 1.6527,                0.17684,                0.08288,                0.05389,                0.02223,                 2.4477,                 2.1553,                 1.3954,              0.0066255,              0.0066255,              0.0066255
                      3,                 2.4542,                  2.239,                 1.3969,                0.19126,                0.10598,                0.06671,                0.03012,                 2.2628,                 1.9514,                 1.2961,              0.0098929,              0.0098929,              0.0098929
                      4,                 2.2136,                 1.9976,                 1.2846,                0.33287,                0.13645,                0.09429,                0.04506,                 2.0144,                 1.7464,                 1.1929,              0.0098515,              0.0098515,              0.0098515
                      5,                 2.0662,                 1.8433,                 1.2208,                0.17399,                 0.1469,                0.11043,                0.05464,                  1.918,                 1.6581,                 1.1429,               0.009802,               0.009802,               0.009802
                      6,                 1.9773,                 1.7278,                 1.1795,                0.19663,                0.16978,                0.12757,                0.06535,                 1.8401,                  1.556,                 1.1176,              0.0097525,              0.0097525,              0.0097525
                      7,                 1.9027,                 1.6506,                 1.1612,                 0.1941,                0.17926,                0.13911,                0.07045,                 1.7654,                 1.5083,                 1.1012,               0.009703,               0.009703,               0.009703
                      8,                 1.8545,                 1.5919,                 1.1339,                0.21808,                0.18952,                0.15147,                0.07799,                 1.7434,                 1.4368,                  1.088,              0.0096535,              0.0096535,              0.0096535
                      9,                 1.8195,                 1.5479,                 1.1269,                0.25326,                0.19544,                0.16328,                0.08635,                 1.6967,                 1.3899,                 1.0719,               0.009604,               0.009604,               0.009604
                     10,                 1.7878,                 1.5053,                 1.1174,                0.24217,                0.20424,                0.16849,                0.08998,                 1.6765,                 1.3425,                 1.0661,              0.0095545,              0.0095545,              0.0095545
                     11,                 1.7503,                 1.4707,                 1.1058,                0.26343,                0.20823,                0.17755,                0.09374,                 1.6356,                 1.3154,                 1.0581,               0.009505,               0.009505,               0.009505
                     12,                 1.7304,                  1.442,                 1.0987,                0.26107,                 0.2114,                0.18057,                0.09682,                 1.6129,                 1.2953,                 1.0469,              0.0094555,              0.0094555,              0.0094555
                     13,                 1.7165,                 1.4184,                 1.0913,                0.26498,                0.21207,                0.17976,                0.09722,                 1.6296,                 1.3154,                 1.0459,               0.009406,               0.009406,               0.009406
                     14,                 1.6821,                 1.3856,                   1.08,                0.28818,                0.22293,                0.19688,                 0.1048,                 1.5925,                 1.2623,                   1.04,              0.0093565,              0.0093565,              0.0093565
                     15,                 1.6797,                 1.3731,                 1.0793,                0.28408,                0.22378,                0.19666,                0.10732,                 1.5733,                  1.247,                  1.033,               0.009307,               0.009307,               0.009307
                     16,                 1.6662,                 1.3621,                 1.0742,                0.29051,                0.23177,                0.20714,                0.11207,                 1.5637,                  1.232,                 1.0301,              0.0092575,              0.0092575,              0.0092575
                     17,                 1.6432,                 1.3333,                 1.0719,                0.28109,                0.22215,                0.19763,                0.10615,                 1.5789,                 1.2394,                 1.0357,               0.009208,               0.009208,               0.009208
                     18,                 1.6481,                  1.328,                 1.0662,                 0.3069,                0.23126,                0.21258,                0.11654,                 1.5236,                 1.2128,                 1.0217,              0.0091585,              0.0091585,              0.0091585
                     19,                 1.6313,                 1.3162,                 1.0637,                0.30852,                0.22966,                0.21372,                0.11605,                 1.5297,                 1.2007,                 1.0234,               0.009109,               0.009109,               0.009109
                     20,                 1.6177,                 1.3004,                 1.0621,                0.30318,                0.24552,                0.21697,                0.11825,                 1.5226,                 1.1916,                 1.0164,              0.0090595,              0.0090595,              0.0090595
                     21,                 1.6034,                 1.2917,                 1.0558,                0.30916,                0.25084,                0.22175,                0.12059,                 1.5217,                  1.188,                 1.0161,                0.00901,                0.00901,                0.00901
                     22,                 1.5956,                 1.2752,                 1.0516,                0.31936,                0.24207,                0.22957,                0.12547,                 1.5011,                 1.1612,                 1.0107,              0.0089605,              0.0089605,              0.0089605
                     23,                 1.5883,                  1.267,                 1.0492,                0.32384,                0.24687,                0.22739,                0.12425,                 1.5001,                 1.1737,                 1.0073,               0.008911,               0.008911,               0.008911
                     24,                 1.5834,                  1.262,                 1.0461,                0.31569,                0.24863,                0.22752,                0.12445,                 1.5123,                 1.1623,                 1.0093,              0.0088615,              0.0088615,              0.0088615
                     25,                 1.5644,                 1.2473,                 1.0464,                0.31039,                0.25941,                0.23131,                0.12684,                 1.4884,                 1.1562,                  1.005,               0.008812,               0.008812,               0.008812
                     26,                 1.5732,                 1.2493,                 1.0467,                0.32718,                0.25781,                0.23364,                0.12936,                 1.4673,                 1.1394,                 0.9993,              0.0087625,              0.0087625,              0.0087625
                     27,                 1.5575,                 1.2369,                 1.0407,                0.31676,                0.26096,                0.23821,                0.13061,                 1.4796,                 1.1433,                  1.002,               0.008713,               0.008713,               0.008713
                     28,                 1.5551,                 1.2294,                   1.04,                0.43425,                0.25491,                0.24004,                0.13178,                 1.4643,                 1.1268,                0.99926,              0.0086635,              0.0086635,              0.0086635
                     29,                 1.5512,                  1.218,                 1.0378,                0.33532,                0.25823,                0.23952,                0.13148,                 1.4611,                  1.126,                0.99677,               0.008614,               0.008614,               0.008614
                     30,                 1.5449,                 1.2053,                 1.0343,                0.34063,                0.26069,                0.24358,                0.13375,                 1.4561,                 1.1173,                0.99623,              0.0085645,              0.0085645,              0.0085645
                     31,                 1.5465,                 1.2102,                  1.037,                0.32755,                0.26107,                0.24605,                0.13564,                 1.4567,                 1.1194,                0.99927,               0.008515,               0.008515,               0.008515
                     32,                 1.5274,                 1.1968,                 1.0288,                0.34984,                0.25802,                0.24519,                0.13722,                 1.4422,                 1.1073,                0.99257,              0.0084655,              0.0084655,              0.0084655
                     33,                 1.5285,                 1.1934,                  1.029,                0.34109,                0.26995,                0.25256,                0.14097,                 1.4418,                 1.1011,                0.99475,               0.008416,               0.008416,               0.008416
                     34,                 1.5254,                 1.1874,                 1.0263,                0.36226,                0.27045,                0.25123,                0.13899,                 1.4391,                 1.0909,                0.99109,              0.0083665,              0.0083665,              0.0083665
                     35,                 1.5189,                 1.1759,                 1.0263,                0.36359,                0.26662,                0.25277,                0.13928,                 1.4394,                 1.1033,                  0.993,               0.008317,               0.008317,               0.008317
                     36,                 1.5149,                 1.1791,                 1.0283,                0.35709,                0.26671,                0.25523,                0.14235,                 1.4316,                 1.0927,                0.99128,              0.0082675,              0.0082675,              0.0082675
                     37,                 1.5135,                 1.1706,                 1.0248,                0.36647,                0.26628,                0.25437,                0.14081,                  1.428,                 1.0908,                0.99063,               0.008218,               0.008218,               0.008218
                     38,                 1.5113,                  1.166,                 1.0251,                0.34989,                0.27835,                0.25734,                 0.1431,                 1.4255,                 1.0898,                0.98774,              0.0081685,              0.0081685,              0.0081685
                     39,                 1.5077,                 1.1653,                 1.0221,                0.35239,                0.28343,                 0.2606,                0.14527,                 1.4174,                 1.0768,                0.98699,               0.008119,               0.008119,               0.008119
                     40,                 1.5018,                 1.1585,                 1.0234,                0.37469,                0.27671,                0.26023,                0.14467,                 1.4171,                  1.074,                0.98453,              0.0080695,              0.0080695,              0.0080695
                     41,                 1.5058,                 1.1584,                 1.0225,                0.37641,                0.28166,                0.26411,                0.14616,                 1.4208,                 1.0755,                0.98663,                0.00802,                0.00802,                0.00802
                     42,                 1.4907,                 1.1487,                  1.018,                0.36785,                0.28222,                0.26543,                0.14698,                 1.4131,                 1.0733,                0.98524,              0.0079705,              0.0079705,              0.0079705
                     43,                 1.4841,                 1.1438,                 1.0149,                0.35081,                 0.2876,                0.26725,                0.14958,                 1.4127,                   1.07,                 0.9845,               0.007921,               0.007921,               0.007921
                     44,                 1.4815,                 1.1376,                  1.018,                0.36873,                0.28232,                0.26524,                0.14903,                 1.4059,                 1.0673,                0.98235,              0.0078715,              0.0078715,              0.0078715
                     45,                 1.4946,                 1.1445,                 1.0154,                0.36446,                0.28619,                  0.269,                0.15184,                 1.4027,                  1.063,                0.97845,               0.007822,               0.007822,               0.007822
                     46,                 1.4802,                 1.1369,                 1.0162,                0.36167,                0.29174,                0.27154,                0.15261,                 1.3974,                 1.0563,                0.97924,              0.0077725,              0.0077725,              0.0077725
                     47,                 1.4779,                 1.1364,                 1.0169,                0.37196,                0.29288,                0.27158,                0.15272,                 1.3963,                 1.0552,                0.97892,               0.007723,               0.007723,               0.007723
                     48,                 1.4774,                 1.1346,                  1.017,                 0.3657,                0.29033,                0.27251,                0.15163,                 1.3962,                  1.054,                0.97956,              0.0076735,              0.0076735,              0.0076735
                     49,                 1.4771,                 1.1275,                 1.0153,                0.38217,                0.28607,                 0.2748,                0.15386,                 1.3954,                 1.0545,                 0.9777,               0.007624,               0.007624,               0.007624
                     50,                 1.4791,                 1.1254,                  1.012,                0.37139,                0.29546,                0.27614,                0.15406,                   1.39,                 1.0465,                0.97611,              0.0075745,              0.0075745,              0.0075745
                     51,                 1.4734,                 1.1173,                 1.0118,                0.37162,                0.29227,                0.27616,                0.15501,                 1.3865,                 1.0417,                0.97548,               0.007525,               0.007525,               0.007525
                     52,                 1.4607,                 1.1119,                 1.0117,                0.36995,                0.29707,                0.27708,                0.15595,                 1.3845,                 1.0424,                0.97591,              0.0074755,              0.0074755,              0.0074755
                     53,                 1.4655,                 1.1158,                 1.0094,                0.38047,                0.29405,                0.27814,                0.15672,                 1.3845,                 1.0373,                0.97546,               0.007426,               0.007426,               0.007426
                     54,                 1.4718,                 1.1204,                 1.0117,                 0.3802,                0.29477,                0.28123,                0.15912,                 1.3803,                 1.0384,                0.97388,              0.0073765,              0.0073765,              0.0073765
                     55,                 1.4655,                 1.1138,                 1.0091,                0.37994,                0.29404,                0.28011,                0.15838,                 1.3764,                 1.0362,                0.97332,               0.007327,               0.007327,               0.007327
                     56,                 1.4614,                 1.1059,                 1.0096,                0.37822,                0.29788,                 0.2797,                0.15749,                 1.3803,                 1.0342,                0.97406,              0.0072775,              0.0072775,              0.0072775
                     57,                 1.4611,                 1.1024,                 1.0099,                0.38274,                0.29899,                0.28261,                0.15992,                 1.3726,                 1.0321,                0.97184,               0.007228,               0.007228,               0.007228
                     58,                 1.4533,                 1.0987,                 1.0077,                0.38277,                0.29761,                0.28383,                0.16065,                 1.3758,                 1.0301,                0.97239,              0.0071785,              0.0071785,              0.0071785
                     59,                 1.4506,                 1.0994,                  1.009,                  0.384,                0.29659,                 0.2834,                 0.1603,                 1.3745,                 1.0312,                  0.973,               0.007129,               0.007129,               0.007129
