                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.5451,                 4.6347,                 3.3049,                0.01463,                0.02065,                0.01043,                0.00314,                 3.4918,                 3.8682,                 1.9385,              0.0033251,              0.0033251,              0.0033251
                      2,                 2.9609,                 2.6804,                 1.6972,                0.17881,                0.07884,                0.05348,                0.02211,                 2.4931,                 2.2462,                 1.4084,              0.0066255,              0.0066255,              0.0066255
                      3,                 2.4503,                 2.2458,                 1.3938,                0.21056,                0.11656,                0.07595,                0.03461,                 2.2354,                 1.9378,                 1.2654,              0.0098929,              0.0098929,              0.0098929
                      4,                 2.2014,                 2.0009,                 1.2801,                0.12432,                0.13532,                0.09221,                0.04374,                  2.052,                 1.7891,                 1.1847,              0.0098515,              0.0098515,              0.0098515
                      5,                  2.058,                 1.8385,                 1.2185,                0.18958,                0.15218,                0.11347,                0.05626,                 1.8991,                  1.638,                 1.1319,               0.009802,               0.009802,               0.009802
                      6,                 1.9666,                  1.725,                  1.177,                 0.1753,                0.16942,                0.12088,                0.06308,                 1.8125,                 1.5764,                 1.1094,              0.0097525,              0.0097525,              0.0097525
                      7,                 1.8929,                 1.6525,                  1.158,                0.19427,                0.18178,                0.13922,                0.07109,                 1.7844,                 1.4762,                 1.1002,               0.009703,               0.009703,               0.009703
                      8,                 1.8515,                 1.5903,                 1.1338,                0.22775,                0.19186,                0.15515,                0.07971,                 1.7152,                 1.4143,                 1.0789,              0.0096535,              0.0096535,              0.0096535
                      9,                 1.8197,                 1.5555,                 1.1274,                0.22716,                 0.2018,                0.15949,                0.08382,                 1.6947,                 1.3947,                 1.0691,               0.009604,               0.009604,               0.009604
                     10,                 1.7919,                 1.5118,                 1.1196,                0.22723,                0.21169,                0.16416,                0.08723,                 1.6904,                 1.3613,                 1.0716,              0.0095545,              0.0095545,              0.0095545
                     11,                 1.7558,                 1.4787,                 1.1081,                0.25259,                0.20938,                0.17074,                0.09029,                 1.6461,                 1.3368,                 1.0548,               0.009505,               0.009505,               0.009505
                     12,                 1.7373,                   1.45,                 1.1014,                 0.2627,                0.21666,                0.18492,                 0.1005,                 1.6255,                 1.2963,                 1.0534,              0.0094555,              0.0094555,              0.0094555
                     13,                 1.7237,                 1.4279,                 1.0942,                0.26735,                0.21935,                0.18631,                0.10108,                  1.623,                 1.3172,                 1.0496,               0.009406,               0.009406,               0.009406
                     14,                 1.6901,                 1.3936,                 1.0825,                0.26951,                0.22101,                0.19271,                0.10286,                 1.6173,                 1.2712,                 1.0482,              0.0093565,              0.0093565,              0.0093565
                     15,                 1.6895,                 1.3825,                 1.0829,                0.28062,                0.22745,                0.19634,                0.10621,                 1.5889,                 1.2506,                 1.0338,               0.009307,               0.009307,               0.009307
                     16,                  1.676,                  1.371,                 1.0771,                0.26936,                0.22759,                0.19682,                0.10716,                 1.5769,                 1.2555,                 1.0323,              0.0092575,              0.0092575,              0.0092575
                     17,                  1.652,                 1.3414,                 1.0743,                0.29042,                0.22505,                0.20592,                 0.1101,                 1.5736,                 1.2412,                 1.0343,               0.009208,               0.009208,               0.009208
                     18,                 1.6552,                 1.3369,                 1.0685,                0.29342,                0.24503,                0.21902,                0.11832,                 1.5362,                 1.2089,                 1.0223,              0.0091585,              0.0091585,              0.0091585
                     19,                 1.6383,                 1.3242,                  1.066,                0.28331,                0.23329,                0.20859,                0.11295,                 1.5451,                 1.2318,                 1.0243,               0.009109,               0.009109,               0.009109
                     20,                  1.626,                 1.3072,                 1.0646,                0.29274,                0.24099,                0.21034,                0.11458,                 1.5325,                 1.1998,                 1.0174,              0.0090595,              0.0090595,              0.0090595
                     21,                 1.6157,                 1.2975,                 1.0593,                0.31805,                0.24084,                0.22121,                0.12049,                 1.5378,                 1.1986,                  1.021,                0.00901,                0.00901,                0.00901
                     22,                 1.6021,                 1.2817,                 1.0536,                0.30316,                0.24582,                0.22428,                0.12226,                 1.5307,                 1.1814,                 1.0169,              0.0089605,              0.0089605,              0.0089605
                     23,                 1.5969,                 1.2709,                  1.052,                0.30957,                0.25892,                0.23003,                0.12551,                 1.5086,                 1.1766,                 1.0123,               0.008911,               0.008911,               0.008911
                     24,                 1.5897,                  1.263,                 1.0483,                0.32183,                0.25297,                0.23583,                0.12964,                 1.5072,                 1.1633,                 1.0102,              0.0088615,              0.0088615,              0.0088615
                     25,                 1.5714,                 1.2499,                 1.0478,                  0.316,                 0.2568,                 0.2348,                0.12904,                 1.5018,                 1.1753,                 1.0091,               0.008812,               0.008812,               0.008812
                     26,                 1.5795,                 1.2536,                 1.0489,                0.33451,                0.25453,                0.23521,                0.13044,                 1.4975,                 1.1571,                 1.0065,              0.0087625,              0.0087625,              0.0087625
                     27,                 1.5654,                 1.2408,                 1.0436,                0.32207,                0.26403,                0.24377,                 0.1336,                 1.4905,                 1.1441,                 1.0059,               0.008713,               0.008713,               0.008713
                     28,                 1.5615,                 1.2318,                 1.0422,                0.32952,                0.25755,                0.24387,                0.13343,                 1.4769,                 1.1304,                 1.0024,              0.0086635,              0.0086635,              0.0086635
                     29,                 1.5606,                 1.2245,                 1.0405,                0.32918,                0.26199,                0.24076,                0.13287,                 1.4783,                 1.1358,                 1.0033,               0.008614,               0.008614,               0.008614
                     30,                 1.5532,                 1.2109,                 1.0364,                0.33961,                0.26434,                0.24602,                 0.1363,                 1.4702,                  1.123,                 1.0005,              0.0085645,              0.0085645,              0.0085645
                     31,                 1.5524,                 1.2154,                 1.0387,                 0.3496,                0.25871,                0.24661,                0.13615,                 1.4759,                 1.1294,                 1.0016,               0.008515,               0.008515,               0.008515
                     32,                 1.5338,                 1.2002,                 1.0304,                0.35918,                 0.2629,                0.24994,                0.13914,                 1.4578,                 1.1183,                0.99733,              0.0084655,              0.0084655,              0.0084655
