                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.5569,                 1.2118,                 1.0381,                0.33576,                0.26072,                0.24104,                 0.1333,                 1.4773,                 1.1306,                0.99954,               0.008317,               0.008317,               0.008317
                     36,                  1.556,                 1.2151,                  1.041,                0.34619,                0.26054,                0.24642,                0.13588,                 1.4581,                 1.1178,                0.99791,              0.0082675,              0.0082675,              0.0082675
                     37,                 1.5496,                 1.2067,                 1.0351,                0.34599,                0.26526,                 0.2463,                0.13595,                 1.4643,                  1.122,                0.99825,               0.008218,               0.008218,               0.008218
                     38,                 1.5526,                  1.202,                 1.0376,                  0.354,                0.26612,                  0.249,                0.13836,                  1.455,                 1.1126,                0.99419,              0.0081685,              0.0081685,              0.0081685
                     39,                  1.545,                  1.202,                 1.0334,                0.35315,                0.26955,                0.25018,                0.13888,                 1.4539,                 1.1076,                0.99702,               0.008119,               0.008119,               0.008119
                     40,                 1.5405,                 1.1967,                 1.0355,                0.36157,                0.26752,                0.25112,                0.13857,                 1.4501,                 1.1056,                0.99446,              0.0080695,              0.0080695,              0.0080695
                     41,                 1.5448,                  1.194,                 1.0339,                0.35392,                0.27021,                0.25254,                0.13869,                 1.4483,                 1.1041,                0.99423,                0.00802,                0.00802,                0.00802
                     42,                 1.5274,                 1.1834,                 1.0291,                0.35727,                0.26965,                0.25389,                0.14016,                 1.4416,                 1.0999,                0.99214,              0.0079705,              0.0079705,              0.0079705
                     43,                  1.524,                 1.1797,                 1.0268,                0.35803,                 0.2749,                0.25736,                0.14341,                 1.4397,                 1.0928,                0.99223,               0.007921,               0.007921,               0.007921
                     44,                 1.5208,                 1.1735,                 1.0299,                0.36835,                0.26933,                0.25583,                0.14188,                 1.4379,                 1.0966,                0.99114,              0.0078715,              0.0078715,              0.0078715
                     45,                 1.5324,                 1.1796,                 1.0265,                0.35221,                0.27652,                0.25799,                0.14289,                 1.4402,                 1.0914,                0.98983,               0.007822,               0.007822,               0.007822
                     46,                 1.5187,                 1.1725,                 1.0271,                0.34725,                0.27227,                0.25611,                0.14282,                  1.432,                 1.0886,                0.98815,              0.0077725,              0.0077725,              0.0077725
                     47,                 1.5158,                 1.1711,                 1.0285,                0.36787,                0.26943,                0.25747,                0.14292,                 1.4359,                 1.0852,                0.98777,               0.007723,               0.007723,               0.007723
                     48,                 1.5167,                 1.1727,                 1.0283,                0.35361,                0.27297,                0.25896,                0.14346,                 1.4295,                 1.0854,                0.98773,              0.0076735,              0.0076735,              0.0076735
                     49,                 1.5152,                 1.1613,                 1.0259,                0.36342,                0.27442,                0.26094,                0.14318,                 1.4295,                 1.0819,                0.98831,               0.007624,               0.007624,               0.007624
                     50,                 1.5165,                 1.1627,                  1.023,                0.37827,                0.27817,                0.26308,                 0.1454,                 1.4266,                 1.0804,                0.98752,              0.0075745,              0.0075745,              0.0075745
                     51,                 1.5114,                 1.1545,                 1.0225,                0.36898,                0.27817,                0.26226,                0.14538,                  1.426,                 1.0798,                0.98545,               0.007525,               0.007525,               0.007525
                     52,                 1.5011,                 1.1485,                 1.0242,                0.36951,                0.27563,                0.26254,                0.14553,                 1.4214,                 1.0749,                0.98466,              0.0074755,              0.0074755,              0.0074755
                     53,                 1.5041,                 1.1497,                 1.0202,                0.36996,                0.28038,                 0.2654,                0.14673,                 1.4271,                 1.0739,                0.98607,               0.007426,               0.007426,               0.007426
                     54,                 1.5103,                 1.1542,                 1.0228,                0.36579,                0.28377,                0.26485,                0.14729,                   1.41,                 1.0699,                0.98068,              0.0073765,              0.0073765,              0.0073765
                     55,                 1.5031,                 1.1515,                 1.0203,                0.37509,                0.28257,                0.26675,                0.14927,                 1.4084,                 1.0654,                0.98045,               0.007327,               0.007327,               0.007327
