                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.5072,                 1.1524,                 1.0218,                0.35398,                0.26942,                0.25659,                0.14366,                 1.4363,                 1.0862,                0.98866,               0.008317,               0.008317,               0.008317
                     36,                 1.5036,                  1.157,                 1.0243,                0.35796,                 0.2751,                0.25952,                0.14496,                 1.4278,                 1.0876,                0.98695,              0.0082675,              0.0082675,              0.0082675
                     37,                 1.5012,                  1.148,                 1.0197,                0.36757,                0.28131,                0.26538,                0.14926,                 1.4197,                 1.0676,                 0.9831,               0.008218,               0.008218,               0.008218
                     38,                 1.5011,                 1.1432,                  1.021,                0.35806,                0.27755,                0.26318,                0.14796,                 1.4194,                 1.0723,                0.98328,              0.0081685,              0.0081685,              0.0081685
                     39,                  1.495,                 1.1426,                 1.0168,                0.36245,                0.28162,                0.26677,                0.14996,                 1.4203,                 1.0624,                 0.9853,               0.008119,               0.008119,               0.008119
                     40,                 1.4905,                 1.1363,                  1.019,                0.37759,                0.27816,                0.26956,                0.15151,                 1.4129,                 1.0595,                0.98092,              0.0080695,              0.0080695,              0.0080695
                     41,                 1.4944,                 1.1345,                 1.0175,                0.37281,                 0.2833,                0.26975,                0.15123,                 1.4125,                 1.0554,                0.97906,                0.00802,                0.00802,                0.00802
                     42,                 1.4787,                 1.1258,                 1.0136,                0.37568,                0.28523,                 0.2725,                0.15408,                 1.4038,                 1.0535,                0.97888,              0.0079705,              0.0079705,              0.0079705
                     43,                 1.4727,                 1.1179,                   1.01,                0.36914,                0.28609,                0.27122,                0.15307,                 1.4052,                 1.0571,                0.97998,               0.007921,               0.007921,               0.007921
                     44,                 1.4682,                  1.111,                 1.0126,                0.37434,                0.28416,                 0.2736,                0.15393,                 1.4014,                 1.0541,                0.97986,              0.0078715,              0.0078715,              0.0078715
                     45,                 1.4813,                 1.1207,                 1.0106,                0.36808,                 0.2898,                0.27711,                0.15645,                 1.3957,                 1.0452,                0.97646,               0.007822,               0.007822,               0.007822
                     46,                 1.4686,                 1.1116,                 1.0111,                0.37297,                0.28998,                0.27387,                0.15491,                 1.3987,                  1.042,                0.97819,              0.0077725,              0.0077725,              0.0077725
                     47,                  1.465,                  1.112,                 1.0121,                0.38514,                0.28862,                0.27551,                0.15591,                 1.3945,                 1.0374,                0.97688,               0.007723,               0.007723,               0.007723
                     48,                 1.4639,                 1.1108,                 1.0111,                0.36459,                0.29216,                0.27728,                0.15548,                 1.3867,                 1.0355,                0.97352,              0.0076735,              0.0076735,              0.0076735
                     49,                  1.463,                 1.1035,                 1.0093,                0.37829,                0.29387,                0.27979,                0.15805,                 1.3818,                 1.0291,                0.97267,               0.007624,               0.007624,               0.007624
                     50,                 1.4653,                 1.1005,                 1.0072,                0.38615,                0.29274,                0.27893,                0.15805,                  1.384,                 1.0277,                0.97323,              0.0075745,              0.0075745,              0.0075745
                     51,                 1.4589,                 1.0919,                 1.0062,                0.38436,                0.29591,                0.28285,                 0.1602,                 1.3776,                 1.0282,                0.97241,               0.007525,               0.007525,               0.007525
                     52,                 1.4465,                 1.0861,                 1.0067,                0.38293,                0.29697,                0.28538,                 0.1624,                  1.375,                 1.0209,                0.97067,              0.0074755,              0.0074755,              0.0074755
