                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.5234,                 1.1759,                 1.0282,                0.35948,                0.27173,                0.25676,                0.14485,                 1.4321,                 1.0916,                0.98852,               0.008317,               0.008317,               0.008317
                     36,                 1.5206,                 1.1785,                 1.0299,                0.37271,                0.26402,                0.25561,                0.14372,                 1.4334,                 1.1017,                0.99071,              0.0082675,              0.0082675,              0.0082675
                     37,                 1.5178,                   1.17,                 1.0255,                0.36539,                0.27818,                0.26132,                0.14714,                 1.4247,                 1.0834,                0.98585,               0.008218,               0.008218,               0.008218
                     38,                 1.5183,                 1.1665,                  1.027,                 0.3582,                0.27795,                0.26025,                0.14661,                 1.4256,                 1.0821,                0.98642,              0.0081685,              0.0081685,              0.0081685
                     39,                 1.5117,                 1.1649,                 1.0237,                0.36976,                0.27923,                0.26692,                0.15063,                 1.4241,                 1.0754,                0.98724,               0.008119,               0.008119,               0.008119
                     40,                 1.5077,                 1.1587,                 1.0246,                0.36285,                0.27711,                0.26305,                 0.1481,                 1.4177,                 1.0732,                0.98463,              0.0080695,              0.0080695,              0.0080695
                     41,                 1.5115,                 1.1573,                 1.0236,                0.36402,                0.28272,                0.26531,                0.14806,                 1.4177,                 1.0673,                0.98377,                0.00802,                0.00802,                0.00802
                     42,                 1.4967,                  1.147,                 1.0199,                 0.3639,                0.28158,                0.26518,                0.14864,                 1.4144,                 1.0688,                0.98562,              0.0079705,              0.0079705,              0.0079705
                     43,                 1.4909,                 1.1438,                 1.0168,                0.36916,                0.28587,                0.26881,                 0.1521,                 1.4074,                 1.0618,                0.98168,               0.007921,               0.007921,               0.007921
                     44,                 1.4859,                 1.1383,                 1.0191,                 0.3763,                0.28204,                 0.2676,                 0.1506,                 1.4104,                 1.0683,                0.98222,              0.0078715,              0.0078715,              0.0078715
                     45,                 1.4981,                 1.1442,                 1.0166,                0.36504,                0.29224,                0.27256,                0.15509,                 1.3994,                 1.0564,                0.97803,               0.007822,               0.007822,               0.007822
                     46,                  1.485,                 1.1359,                 1.0173,                0.37143,                0.29057,                 0.2737,                 0.1545,                 1.3974,                 1.0528,                0.97938,              0.0077725,              0.0077725,              0.0077725
                     47,                 1.4832,                 1.1361,                 1.0185,                0.38374,                0.29059,                 0.2764,                0.15578,                 1.4004,                 1.0526,                0.97941,               0.007723,               0.007723,               0.007723
                     48,                  1.484,                 1.1389,                 1.0186,                0.37298,                0.28869,                0.27336,                0.15382,                 1.3967,                 1.0507,                0.97868,              0.0076735,              0.0076735,              0.0076735
                     49,                 1.4817,                 1.1256,                 1.0162,                0.37714,                 0.2904,                0.27569,                0.15465,                 1.3996,                  1.052,                0.97888,               0.007624,               0.007624,               0.007624
                     50,                 1.4843,                 1.1258,                 1.0142,                0.37266,                 0.2992,                0.27679,                0.15596,                  1.393,                 1.0427,                0.97737,              0.0075745,              0.0075745,              0.0075745
                     51,                 1.4778,                  1.117,                 1.0129,                0.39418,                0.29309,                0.28171,                0.15906,                 1.3892,                 1.0409,                0.97626,               0.007525,               0.007525,               0.007525
                     52,                 1.4651,                 1.1125,                 1.0137,                0.39066,                0.29656,                0.28483,                0.16154,                 1.3832,                 1.0389,                0.97532,              0.0074755,              0.0074755,              0.0074755
                     53,                  1.472,                 1.1148,                 1.0118,                0.38326,                0.29418,                0.28024,                0.15801,                 1.3889,                 1.0384,                0.97618,               0.007426,               0.007426,               0.007426
                     54,                 1.4766,                 1.1204,                 1.0132,                0.38473,                0.29655,                0.28343,                0.16156,                 1.3801,                 1.0363,                0.97402,              0.0073765,              0.0073765,              0.0073765
                     55,                 1.4698,                 1.1139,                 1.0109,                0.38952,                0.29666,                 0.2852,                0.16189,                 1.3785,                 1.0324,                0.97362,               0.007327,               0.007327,               0.007327
                     56,                 1.4675,                 1.1075,                 1.0114,                0.37847,                0.29744,                0.28365,                0.16081,                   1.38,                 1.0326,                0.97356,              0.0072775,              0.0072775,              0.0072775
                     57,                 1.4653,                 1.1049,                 1.0111,                0.38407,                0.29913,                0.28603,                 0.1637,                 1.3752,                   1.03,                0.97251,               0.007228,               0.007228,               0.007228
                     58,                 1.4585,                 1.0996,                 1.0093,                0.39776,                0.29869,                0.28948,                0.16464,                 1.3794,                 1.0272,                0.97333,              0.0071785,              0.0071785,              0.0071785
                     59,                  1.459,                 1.1042,                 1.0104,                0.39749,                 0.2996,                 0.2876,                0.16312,                 1.3932,                 1.0458,                0.97153,               0.007129,               0.007129,               0.007129
                     60,                 1.4806,                 1.1175,                 1.0076,                0.38922,                0.29847,                0.28701,                0.16418,                 1.4047,                 1.0623,                0.96986,              0.0070795,              0.0070795,              0.0070795
