                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.5663,                 4.7584,                 3.3611,                 0.1129,                0.02014,                 0.0081,                 0.0024,                 3.5483,                 3.3585,                 2.0754,              0.0033251,              0.0033251,              0.0033251
                      2,                 2.9798,                 2.6968,                 1.7127,                0.06788,                0.08356,                0.05134,                0.02156,                 2.5093,                 2.2267,                 1.4115,              0.0066255,              0.0066255,              0.0066255
                      3,                  2.467,                 2.2458,                 1.4058,                0.21404,                0.10621,                0.07191,                0.03343,                 2.2535,                 1.9362,                 1.2897,              0.0098929,              0.0098929,              0.0098929
                      4,                 2.2186,                 1.9995,                 1.2876,                0.23652,                0.13085,                0.09712,                0.04689,                 2.0248,                 1.7426,                 1.1853,              0.0098515,              0.0098515,              0.0098515
                      5,                 2.0681,                 1.8398,                  1.223,                0.26976,                0.14856,                0.11158,                0.05506,                 1.9122,                 1.6423,                  1.143,               0.009802,               0.009802,               0.009802
                      6,                 1.9814,                 1.7249,                 1.1835,                0.18086,                0.16335,                0.12485,                0.06187,                 1.8805,                 1.5428,                 1.1206,              0.0097525,              0.0097525,              0.0097525
                      7,                 1.9023,                 1.6497,                 1.1636,                0.18092,                0.17101,                0.13097,                0.06662,                 1.8088,                 1.5527,                 1.1078,               0.009703,               0.009703,               0.009703
                      8,                 1.8583,                 1.5885,                 1.1367,                0.21074,                0.17408,                0.14467,                0.07313,                 1.7573,                 1.4274,                 1.0843,              0.0096535,              0.0096535,              0.0096535
                      9,                 1.8247,                 1.5495,                 1.1292,                0.23023,                0.19409,                0.15668,                0.08148,                 1.7078,                 1.3978,                 1.0734,               0.009604,               0.009604,               0.009604
                     10,                 1.7921,                 1.5073,                 1.1204,                0.25642,                0.20086,                0.16991,                0.09019,                 1.6777,                 1.3524,                 1.0678,              0.0095545,              0.0095545,              0.0095545
                     11,                 1.7594,                 1.4738,                 1.1098,                0.26058,                0.20286,                0.17408,                0.09166,                 1.6544,                 1.3371,                 1.0589,               0.009505,               0.009505,               0.009505
                     12,                 1.7381,                 1.4431,                 1.1019,                0.26419,                0.20734,                 0.1811,                0.09507,                 1.6405,                 1.3183,                 1.0612,              0.0094555,              0.0094555,              0.0094555
                     13,                 1.7232,                 1.4228,                 1.0944,                0.26492,                0.21796,                0.18162,                0.09849,                 1.6345,                 1.3154,                 1.0478,               0.009406,               0.009406,               0.009406
                     14,                 1.6917,                 1.3874,                 1.0831,                 0.3026,                0.22798,                 0.2036,                0.10886,                 1.5891,                 1.2532,                  1.043,              0.0093565,              0.0093565,              0.0093565
                     15,                 1.6877,                 1.3759,                 1.0819,                0.30097,                0.22685,                0.20379,                0.11089,                 1.5877,                 1.2531,                  1.035,               0.009307,               0.009307,               0.009307
                     16,                  1.673,                 1.3621,                  1.076,                0.30706,                 0.2309,                0.20947,                0.11243,                 1.5686,                 1.2485,                 1.0339,              0.0092575,              0.0092575,              0.0092575
                     17,                 1.6518,                 1.3377,                 1.0751,                0.30506,                0.22668,                0.20809,                 0.1125,                 1.5644,                 1.2269,                 1.0286,               0.009208,               0.009208,               0.009208
