                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.5947,                 1.2626,                 1.0312,                0.35615,                0.25866,                0.24499,                0.13467,                 1.5045,                  1.191,                 0.9947,               0.008317,               0.008317,               0.008317
                     36,                 1.5911,                 1.2676,                 1.0322,                  0.341,                0.25731,                0.24369,                0.13483,                 1.5061,                 1.1881,                0.99556,              0.0082675,              0.0082675,              0.0082675
                     37,                 1.5883,                 1.2598,                 1.0264,                0.34283,                0.25895,                0.24618,                0.13613,                 1.4967,                 1.1799,                0.99055,               0.008218,               0.008218,               0.008218
                     38,                   1.59,                 1.2535,                 1.0275,                0.35618,                0.25849,                0.24529,                0.13679,                 1.4974,                 1.1695,                0.98718,              0.0081685,              0.0081685,              0.0081685
                     39,                 1.5818,                 1.2462,                 1.0213,                0.34047,                0.26834,                0.25091,                0.13894,                 1.4899,                 1.1576,                0.98537,               0.008119,               0.008119,               0.008119
                     40,                 1.5774,                   1.24,                 1.0222,                0.35391,                0.26254,                   0.25,                0.13916,                 1.4866,                 1.1526,                0.98341,              0.0080695,              0.0080695,              0.0080695
                     41,                  1.579,                 1.2376,                   1.02,                0.35223,                0.27065,                0.25433,                0.14095,                 1.4871,                 1.1496,                0.98277,                0.00802,                0.00802,                0.00802
                     42,                 1.5609,                 1.2267,                 1.0146,                0.35823,                0.27145,                0.25528,                0.14197,                 1.4815,                 1.1483,                0.98093,              0.0079705,              0.0079705,              0.0079705
                     43,                 1.5548,                 1.2183,                 1.0111,                0.34921,                0.26964,                0.25508,                0.14237,                 1.4768,                 1.1433,                0.98068,               0.007921,               0.007921,               0.007921
                     44,                  1.552,                  1.213,                 1.0142,                0.35597,                0.27194,                0.25415,                0.14181,                 1.4625,                 1.1399,                0.97485,              0.0078715,              0.0078715,              0.0078715
                     45,                  1.564,                 1.2208,                 1.0116,                0.35762,                0.27347,                0.25728,                0.14315,                 1.4711,                 1.1379,                 0.9764,               0.007822,               0.007822,               0.007822
                     46,                 1.5525,                  1.212,                 1.0123,                0.35645,                0.26772,                0.25534,                0.14365,                 1.4631,                 1.1324,                0.97406,              0.0077725,              0.0077725,              0.0077725
                     47,                 1.5483,                 1.2107,                 1.0127,                0.34985,                0.28015,                0.26099,                0.14486,                 1.4602,                 1.1288,                0.97412,               0.007723,               0.007723,               0.007723
                     48,                 1.5461,                 1.2087,                 1.0116,                0.35462,                0.28302,                0.26127,                0.14615,                 1.4619,                 1.1224,                0.97411,              0.0076735,              0.0076735,              0.0076735
                     49,                 1.5464,                 1.1991,                 1.0096,                0.36839,                0.27576,                0.26124,                 0.1448,                 1.4566,                 1.1227,                0.97347,               0.007624,               0.007624,               0.007624
                     50,                 1.5468,                  1.198,                 1.0066,                0.35687,                0.28094,                0.26552,                 0.1482,                  1.451,                  1.116,                0.97229,              0.0075745,              0.0075745,              0.0075745
                     51,                 1.5396,                 1.1895,                 1.0056,                0.36321,                0.27879,                0.26549,                0.14832,                 1.4512,                 1.1184,                0.97104,               0.007525,               0.007525,               0.007525
                     52,                 1.5282,                 1.1842,                 1.0074,                0.36981,                0.27999,                0.26502,                0.14778,                 1.4466,                 1.1105,                0.97032,              0.0074755,              0.0074755,              0.0074755
                     53,                 1.5324,                 1.1858,                 1.0032,                0.36129,                0.28105,                0.26453,                0.14815,                 1.4505,                 1.1171,                0.97125,               0.007426,               0.007426,               0.007426
                     54,                 1.5371,                 1.1912,                 1.0043,                0.37229,                0.28111,                0.27019,                0.15186,                  1.443,                 1.1078,                0.96974,              0.0073765,              0.0073765,              0.0073765
                     55,                 1.5309,                 1.1857,                 1.0029,                0.36815,                0.28138,                 0.2687,                 0.1505,                 1.4402,                 1.1053,                0.96772,               0.007327,               0.007327,               0.007327
                     56,                 1.5253,                 1.1775,                  1.002,                0.36433,                0.27888,                0.26929,                0.15067,                 1.4373,                    1.1,                0.96578,              0.0072775,              0.0072775,              0.0072775
                     57,                 1.5263,                 1.1758,                  1.003,                0.35923,                0.28566,                0.27086,                0.15162,                 1.4372,                 1.1004,                0.96607,               0.007228,               0.007228,               0.007228
                     58,                 1.5191,                 1.1687,                 1.0011,                0.37353,                0.28451,                0.27158,                0.15238,                 1.4334,                 1.0969,                0.96418,              0.0071785,              0.0071785,              0.0071785
                     59,                 1.5146,                 1.1701,                  1.002,                0.37341,                0.28586,                0.27106,                0.15071,                   1.43,                 1.0986,                0.96394,               0.007129,               0.007129,               0.007129
                     60,                 1.5151,                 1.1605,                0.99997,                 0.3627,                0.28933,                0.27352,                0.15313,                 1.4353,                 1.0932,                0.96553,              0.0070795,              0.0070795,              0.0070795
                     61,                 1.5129,                   1.16,                0.99746,                0.38242,                0.28439,                0.27504,                0.15474,                 1.4238,                 1.0895,                0.96305,                0.00703,                0.00703,                0.00703
                     62,                 1.5075,                  1.159,                0.99608,                0.37197,                0.29056,                0.27615,                0.15544,                 1.4244,                 1.0881,                0.96221,              0.0069805,              0.0069805,              0.0069805
                     63,                 1.5102,                 1.1566,                0.99522,                0.37054,                0.29311,                0.27475,                0.15493,                 1.4237,                 1.0866,                0.96294,               0.006931,               0.006931,               0.006931
                     64,                 1.5189,                 1.1597,                0.99636,                 0.3723,                 0.2936,                0.27726,                  0.156,                 1.4226,                 1.0854,                0.96256,              0.0068815,              0.0068815,              0.0068815
                     65,                 1.5075,                 1.1573,                0.99443,                0.37643,                0.28757,                0.27695,                0.15475,                 1.4191,                 1.0811,                0.96144,               0.006832,               0.006832,               0.006832
                     66,                 1.5126,                 1.1555,                0.99502,                0.37669,                0.29507,                 0.2814,                0.15765,                   1.42,                   1.08,                0.96135,              0.0067825,              0.0067825,              0.0067825
