                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.5222,                 4.5595,                 3.2796,                0.32023,                0.02581,                0.01319,                0.00369,                 3.4276,                 3.9483,                 1.9729,              0.0033251,              0.0033251,              0.0033251
                      2,                 2.9134,                 2.6391,                 1.6796,                0.27546,                0.07058,                 0.0508,                0.02087,                 2.4576,                 2.2024,                 1.3931,              0.0066255,              0.0066255,              0.0066255
                      3,                 2.4301,                 2.2353,                 1.3934,                0.22695,                0.11703,                0.07659,                0.03564,                 2.1748,                 1.8829,                 1.2451,              0.0098929,              0.0098929,              0.0098929
                      4,                 2.2111,                 1.9946,                 1.2855,                0.10838,                0.14229,                0.08893,                0.04007,                 2.1371,                 1.8451,                 1.2175,              0.0098515,              0.0098515,              0.0098515
                      5,                 2.0699,                 1.8397,                 1.2233,                0.17575,                0.15216,                0.11276,                0.05616,                 1.8997,                 1.6287,                 1.1424,               0.009802,               0.009802,               0.009802
                      6,                 1.9814,                 1.7285,                  1.183,                0.18315,                0.16665,                0.11877,                0.06204,                 1.8594,                 1.6558,                 1.1219,              0.0097525,              0.0097525,              0.0097525
                      7,                 1.9064,                 1.6586,                 1.1645,                0.17212,                0.17108,                0.12848,                0.06457,                 1.8354,                 1.5482,                 1.1112,               0.009703,               0.009703,               0.009703
                      8,                 1.8651,                 1.5989,                 1.1385,                0.21282,                0.18301,                0.14236,                0.07379,                 1.7584,                  1.447,                 1.0816,              0.0096535,              0.0096535,              0.0096535
                      9,                 1.8299,                 1.5585,                 1.1311,                0.21002,                0.19118,                0.15002,                0.07993,                 1.7207,                  1.466,                 1.0798,               0.009604,               0.009604,               0.009604
                     10,                 1.7995,                 1.5187,                 1.1223,                0.23106,                0.19857,                0.16376,                0.08624,                 1.6884,                 1.3857,                 1.0743,              0.0095545,              0.0095545,              0.0095545
                     11,                 1.7648,                 1.4827,                 1.1112,                0.25934,                0.20175,                 0.1698,                0.09036,                 1.6538,                 1.3545,                 1.0617,               0.009505,               0.009505,               0.009505
                     12,                 1.7457,                  1.453,                 1.1048,                0.26402,                0.20952,                0.17665,                0.09316,                 1.6343,                 1.3153,                  1.056,              0.0094555,              0.0094555,              0.0094555
                     13,                 1.7286,                 1.4328,                 1.0962,                0.26783,                0.21528,                0.18515,                0.09918,                 1.6194,                 1.3156,                 1.0489,               0.009406,               0.009406,               0.009406
                     14,                 1.6951,                 1.3933,                 1.0847,                 0.2917,                0.22305,                0.19378,                0.10455,                 1.6013,                 1.2786,                 1.0423,              0.0093565,              0.0093565,              0.0093565
                     15,                 1.6908,                 1.3813,                 1.0837,                0.29208,                0.22973,                0.20251,                 0.1098,                 1.5928,                 1.2506,                 1.0408,               0.009307,               0.009307,               0.009307
                     16,                 1.6774,                 1.3708,                 1.0782,                0.28865,                0.23014,                0.20222,                0.11011,                 1.5789,                 1.2452,                 1.0382,              0.0092575,              0.0092575,              0.0092575
                     17,                 1.6531,                 1.3444,                 1.0764,                0.30069,                0.22256,                0.20186,                0.10835,                 1.5808,                 1.2497,                 1.0334,               0.009208,               0.009208,               0.009208
                     18,                 1.6575,                 1.3338,                 1.0707,                0.30583,                  0.236,                0.21726,                0.11831,                 1.5267,                 1.1989,                 1.0239,              0.0091585,              0.0091585,              0.0091585
                     19,                 1.6384,                 1.3203,                 1.0667,                0.29113,                0.23714,                0.21381,                0.11609,                  1.541,                 1.2184,                 1.0272,               0.009109,               0.009109,               0.009109
                     20,                 1.6261,                 1.3061,                 1.0655,                0.30712,                0.24163,                0.21872,                0.12077,                 1.5259,                 1.1891,                 1.0176,              0.0090595,              0.0090595,              0.0090595
                     21,                 1.6148,                 1.2961,                 1.0602,                0.30695,                0.24593,                0.21741,                0.11992,                 1.5234,                 1.1903,                 1.0163,                0.00901,                0.00901,                0.00901
                     22,                 1.6049,                 1.2807,                 1.0541,                0.31679,                0.24479,                 0.2182,                0.11933,                 1.5151,                 1.1819,                 1.0145,              0.0089605,              0.0089605,              0.0089605
                     23,                 1.5959,                   1.27,                 1.0525,                0.30536,                0.25167,                0.22412,                0.12357,                 1.5129,                 1.1789,                 1.0131,               0.008911,               0.008911,               0.008911
                     24,                 1.5901,                 1.2631,                 1.0493,                0.30582,                 0.2508,                0.22406,                 0.1219,                 1.5142,                 1.1768,                 1.0162,              0.0088615,              0.0088615,              0.0088615
                     25,                 1.5702,                 1.2491,                 1.0486,                0.31483,                0.26238,                0.23367,                0.12789,                 1.4968,                  1.156,                 1.0074,               0.008812,               0.008812,               0.008812
                     26,                 1.5752,                 1.2493,                  1.048,                0.30059,                0.25193,                0.22852,                0.12626,                 1.4876,                 1.1588,                 1.0058,              0.0087625,              0.0087625,              0.0087625
                     27,                 1.5637,                 1.2387,                 1.0436,                0.32166,                0.26809,                 0.2377,                0.12938,                 1.4816,                 1.1481,                 1.0047,               0.008713,               0.008713,               0.008713
                     28,                 1.5618,                 1.2301,                  1.043,                0.34816,                0.25757,                0.23524,                0.12974,                 1.4789,                 1.1281,                 1.0047,              0.0086635,              0.0086635,              0.0086635
                     29,                  1.557,                 1.2196,                 1.0408,                0.34505,                  0.265,                0.24642,                0.13585,                 1.4639,                 1.1156,                 1.0006,               0.008614,               0.008614,               0.008614
                     30,                 1.5511,                 1.2064,                 1.0367,                 0.3426,                0.27353,                0.24778,                0.13659,                 1.4574,                 1.1116,                0.99908,              0.0085645,              0.0085645,              0.0085645
                     31,                 1.5496,                 1.2118,                 1.0389,                0.34046,                0.26466,                0.24721,                0.13638,                 1.4686,                 1.1198,                 1.0042,               0.008515,               0.008515,               0.008515
                     32,                 1.5305,                 1.1975,                 1.0302,                0.34047,                0.26895,                0.25092,                0.13854,                 1.4536,                 1.1135,                0.99534,              0.0084655,              0.0084655,              0.0084655
                     33,                 1.5308,                 1.1947,                 1.0309,                0.34729,                0.26962,                0.25502,                0.14229,                 1.4484,                 1.1042,                0.99691,               0.008416,               0.008416,               0.008416
                     34,                 1.5292,                 1.1879,                 1.0286,                0.35515,                0.27453,                0.25853,                0.14272,                 1.4418,                 1.0967,                0.99343,              0.0083665,              0.0083665,              0.0083665
                     35,                 1.5194,                 1.1759,                 1.0277,                0.34524,                0.27345,                0.25637,                0.14451,                  1.436,                 1.0937,                0.99449,               0.008317,               0.008317,               0.008317
                     36,                 1.5167,                  1.177,                 1.0301,                0.35318,                 0.2776,                0.25728,                0.14224,                 1.4407,                 1.0951,                0.99517,              0.0082675,              0.0082675,              0.0082675
                     37,                 1.5152,                 1.1724,                 1.0263,                0.35739,                   0.28,                0.25974,                0.14423,                 1.4296,                 1.0903,                0.99277,               0.008218,               0.008218,               0.008218
                     38,                 1.5134,                 1.1673,                 1.0264,                0.34583,                0.28053,                0.26079,                0.14528,                 1.4305,                 1.0795,                0.99181,              0.0081685,              0.0081685,              0.0081685
                     39,                 1.5094,                 1.1655,                 1.0231,                0.34099,                0.29091,                0.26143,                0.14562,                 1.4204,                 1.0783,                0.98747,               0.008119,               0.008119,               0.008119
                     40,                 1.5046,                 1.1611,                  1.025,                0.37945,                0.27499,                0.26494,                0.14747,                 1.4214,                 1.0702,                0.98841,              0.0080695,              0.0080695,              0.0080695
                     41,                 1.5063,                  1.159,                 1.0235,                 0.3524,                0.28587,                0.26429,                0.14755,                 1.4168,                 1.0674,                0.98602,                0.00802,                0.00802,                0.00802
                     42,                 1.4925,                 1.1481,                 1.0193,                0.35667,                0.29081,                0.26628,                0.14844,                 1.4167,                 1.0672,                0.98549,              0.0079705,              0.0079705,              0.0079705
                     43,                 1.4852,                  1.142,                 1.0158,                0.36315,                0.29012,                0.27107,                 0.1533,                  1.412,                 1.0643,                0.98463,               0.007921,               0.007921,               0.007921
                     44,                 1.4803,                 1.1376,                 1.0182,                0.36746,                0.29131,                0.27171,                0.15102,                 1.4049,                 1.0588,                 0.9833,              0.0078715,              0.0078715,              0.0078715
                     45,                 1.4937,                  1.147,                 1.0167,                0.36108,                0.28836,                0.26971,                0.15095,                 1.4064,                 1.0597,                0.98112,               0.007822,               0.007822,               0.007822
                     46,                 1.4813,                 1.1365,                 1.0172,                0.36527,                0.29369,                0.27293,                0.15287,                 1.4035,                 1.0574,                0.98149,              0.0077725,              0.0077725,              0.0077725
                     47,                 1.4778,                 1.1369,                  1.018,                0.36808,                0.29003,                0.27357,                0.15261,                 1.3961,                 1.0544,                0.98119,               0.007723,               0.007723,               0.007723
                     48,                 1.4794,                 1.1373,                 1.0179,                0.36611,                0.29194,                0.27336,                0.15292,                 1.3975,                 1.0506,                0.97958,              0.0076735,              0.0076735,              0.0076735
                     49,                 1.4753,                 1.1258,                 1.0154,                0.37102,                0.29363,                0.27477,                0.15347,                 1.3971,                 1.0454,                0.98046,               0.007624,               0.007624,               0.007624
                     50,                 1.4784,                 1.1259,                 1.0126,                0.37123,                0.29626,                0.27841,                0.15588,                 1.3941,                 1.0439,                0.97932,              0.0075745,              0.0075745,              0.0075745
                     51,                 1.4722,                 1.1173,                 1.0119,                0.37151,                 0.2948,                0.27923,                0.15703,                 1.3917,                 1.0396,                0.97785,               0.007525,               0.007525,               0.007525
                     52,                 1.4599,                  1.112,                 1.0127,                0.37981,                0.29603,                0.28111,                0.15823,                 1.3881,                 1.0374,                0.97874,              0.0074755,              0.0074755,              0.0074755
                     53,                 1.4656,                 1.1127,                 1.0103,                0.37096,                0.29262,                0.27762,                0.15589,                 1.3846,                 1.0411,                 0.9775,               0.007426,               0.007426,               0.007426
                     54,                 1.4715,                 1.1208,                 1.0126,                0.37045,                0.29827,                0.27986,                 0.1567,                 1.3819,                 1.0364,                0.97766,              0.0073765,              0.0073765,              0.0073765
                     55,                 1.4636,                 1.1121,                 1.0096,                0.37197,                0.29402,                0.28024,                0.15752,                 1.3774,                 1.0347,                0.97454,               0.007327,               0.007327,               0.007327
                     56,                 1.4596,                 1.1052,                 1.0098,                0.36565,                0.29981,                0.28279,                0.15846,                 1.3793,                 1.0302,                0.97616,              0.0072775,              0.0072775,              0.0072775
                     57,                 1.4598,                  1.103,                 1.0104,                0.38476,                0.29517,                  0.285,                0.16113,                 1.3766,                 1.0276,                0.97394,               0.007228,               0.007228,               0.007228
                     58,                 1.4513,                 1.0989,                 1.0079,                0.37728,                0.30087,                0.28498,                0.16084,                 1.3743,                 1.0259,                0.97364,              0.0071785,              0.0071785,              0.0071785
                     59,                  1.448,                 1.0994,                 1.0097,                0.37368,                0.30266,                0.28417,                 0.1615,                  1.371,                 1.0237,                0.97182,               0.007129,               0.007129,               0.007129
                     60,                 1.4508,                 1.0935,                 1.0079,                0.37457,                0.29856,                0.28273,                0.16074,                 1.3688,                 1.0242,                0.97053,              0.0070795,              0.0070795,              0.0070795
                     61,                 1.4473,                 1.0913,                 1.0057,                0.37883,                0.30477,                0.28672,                0.16216,                 1.3697,                 1.0241,                0.97326,                0.00703,                0.00703,                0.00703
