                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                  1.477,                 1.1328,                0.94504,                0.39048,                 0.2916,                0.27766,                0.15934,                 1.4287,                 1.1021,                0.93318,               0.008317,               0.008317,               0.008317
                     36,                 1.4749,                 1.1355,                0.94734,                0.38173,                0.28646,                0.27552,                0.15747,                 1.4323,                 1.1074,                0.93575,              0.0082675,              0.0082675,              0.0082675
                     37,                 1.4753,                 1.1295,                 0.9443,                0.38272,                0.29535,                0.28326,                0.16302,                 1.4195,                 1.0948,                0.92905,               0.008218,               0.008218,               0.008218
                     38,                 1.4739,                 1.1241,                0.94449,                0.38561,                0.29219,                0.27946,                0.16094,                 1.4254,                 1.1059,                0.93212,              0.0081685,              0.0081685,              0.0081685
                     39,                 1.4697,                 1.1246,                0.94297,                0.38995,                0.29457,                0.28618,                0.16337,                 1.4212,                 1.0877,                0.93133,               0.008119,               0.008119,               0.008119
                     40,                 1.4652,                  1.118,                0.94298,                0.38644,                0.29429,                0.28647,                0.16417,                 1.4084,                 1.0856,                0.92876,              0.0080695,              0.0080695,              0.0080695
                     41,                 1.4683,                 1.1165,                0.94151,                 0.3859,                0.30033,                0.28994,                0.16523,                   1.41,                 1.0809,                0.92976,                0.00802,                0.00802,                0.00802
                     42,                 1.4548,                 1.1087,                0.93994,                0.38064,                0.29728,                0.28731,                0.16531,                 1.4049,                 1.0808,                0.92405,              0.0079705,              0.0079705,              0.0079705
                     43,                 1.4507,                 1.1038,                0.93722,                0.38782,                0.30599,                0.29144,                0.16867,                 1.3985,                 1.0733,                0.92547,               0.007921,               0.007921,               0.007921
                     44,                 1.4435,                 1.0965,                0.93699,                0.38629,                 0.3027,                0.29305,                0.16862,                 1.3997,                 1.0814,                0.92723,              0.0078715,              0.0078715,              0.0078715
                     45,                  1.458,                 1.1037,                0.93782,                0.39147,                0.30068,                0.29352,                0.17007,                 1.3977,                 1.0769,                0.92358,               0.007822,               0.007822,               0.007822
                     46,                 1.4491,                  1.099,                0.93793,                0.39239,                0.29972,                0.29425,                 0.1692,                  1.396,                 1.0695,                0.92294,              0.0077725,              0.0077725,              0.0077725
                     47,                 1.4419,                 1.0954,                0.93769,                0.39039,                0.30876,                 0.2969,                0.17192,                 1.3898,                 1.0625,                0.92193,               0.007723,               0.007723,               0.007723
                     48,                 1.4416,                 1.0958,                0.93708,                0.39387,                0.30283,                 0.2958,                0.17088,                 1.3906,                 1.0656,                 0.9241,              0.0076735,              0.0076735,              0.0076735
