                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.5052,                 1.1488,                 1.0205,                0.35591,                0.26832,                0.26019,                0.14679,                 1.4315,                 1.0894,                 0.9872,               0.008317,               0.008317,               0.008317
                     36,                 1.5024,                  1.152,                  1.023,                0.36886,                0.27612,                0.26167,                0.14769,                 1.4258,                 1.0798,                0.98778,              0.0082675,              0.0082675,              0.0082675
                     37,                 1.5001,                 1.1443,                 1.0186,                0.35601,                0.27733,                0.26137,                 0.1481,                 1.4197,                 1.0756,                0.98231,               0.008218,               0.008218,               0.008218
                     38,                 1.4999,                 1.1398,                   1.02,                0.36904,                0.28194,                0.26311,                0.14937,                   1.42,                 1.0726,                0.98323,              0.0081685,              0.0081685,              0.0081685
                     39,                 1.4928,                 1.1368,                 1.0157,                0.37515,                0.28261,                0.26891,                 0.1522,                 1.4188,                 1.0608,                0.98599,               0.008119,               0.008119,               0.008119
                     40,                 1.4889,                 1.1342,                 1.0177,                0.38932,                0.27281,                0.26924,                0.15191,                 1.4098,                 1.0664,                0.98225,              0.0080695,              0.0080695,              0.0080695
                     41,                 1.4925,                 1.1306,                 1.0167,                0.37507,                0.27924,                0.26855,                0.15131,                 1.4107,                 1.0583,                0.98079,                0.00802,                0.00802,                0.00802
                     42,                 1.4758,                 1.1194,                 1.0119,                 0.3745,                0.28932,                0.27259,                0.15462,                 1.3995,                 1.0503,                0.97881,              0.0079705,              0.0079705,              0.0079705
                     43,                 1.4692,                 1.1153,                 1.0086,                 0.3642,                0.28748,                 0.2723,                0.15495,                 1.4019,                 1.0499,                0.97823,               0.007921,               0.007921,               0.007921
                     44,                 1.4655,                 1.1067,                 1.0108,                0.37123,                0.28647,                0.27139,                0.15413,                 1.3943,                 1.0492,                0.97569,              0.0078715,              0.0078715,              0.0078715
                     45,                 1.4777,                 1.1156,                 1.0088,                0.36344,                0.29446,                0.27288,                0.15554,                  1.397,                 1.0471,                0.97561,               0.007822,               0.007822,               0.007822
                     46,                 1.4659,                 1.1081,                   1.01,                0.37482,                0.28907,                0.27676,                0.15742,                 1.3914,                 1.0423,                0.97582,              0.0077725,              0.0077725,              0.0077725
                     47,                 1.4607,                 1.1064,                   1.01,                0.38854,                0.28704,                0.27794,                 0.1597,                  1.388,                 1.0436,                0.97384,               0.007723,               0.007723,               0.007723
                     48,                 1.4629,                 1.1075,                 1.0101,                0.37783,                0.28967,                0.27628,                0.15696,                 1.3868,                 1.0368,                0.97243,              0.0076735,              0.0076735,              0.0076735
                     49,                 1.4618,                  1.097,                 1.0083,                0.38649,                0.29147,                0.27785,                0.15822,                 1.3844,                 1.0336,                0.97193,               0.007624,               0.007624,               0.007624
                     50,                 1.4604,                 1.0952,                 1.0045,                0.38592,                0.29606,                0.28032,                0.15992,                 1.3826,                 1.0313,                0.97297,              0.0075745,              0.0075745,              0.0075745
                     51,                  1.457,                 1.0889,                 1.0042,                0.38822,                0.29138,                 0.2804,                0.16004,                   1.38,                 1.0278,                0.97236,               0.007525,               0.007525,               0.007525
                     52,                 1.4442,                 1.0828,                 1.0055,                 0.3966,                 0.2948,                0.28415,                0.16235,                 1.3761,                 1.0239,                 0.9717,              0.0074755,              0.0074755,              0.0074755
                     53,                 1.4509,                 1.0834,                 1.0031,                0.39718,                0.29326,                0.28253,                0.16198,                  1.377,                 1.0232,                0.97063,               0.007426,               0.007426,               0.007426
                     54,                 1.4544,                 1.0901,                 1.0046,                 0.3886,                0.29818,                 0.2873,                0.16429,                 1.3672,                 1.0223,                0.96825,              0.0073765,              0.0073765,              0.0073765
                     55,                  1.449,                 1.0861,                 1.0025,                0.39328,                0.29836,                0.28763,                0.16496,                 1.3685,                 1.0207,                0.96988,               0.007327,               0.007327,               0.007327
                     56,                 1.4425,                 1.0771,                  1.002,                 0.4001,                0.29864,                0.28689,                0.16471,                 1.3697,                 1.0164,                0.96743,              0.0072775,              0.0072775,              0.0072775
                     57,                 1.4472,                  1.076,                  1.003,                0.39549,                0.29839,                0.28894,                0.16596,                 1.3687,                 1.0188,                0.96672,               0.007228,               0.007228,               0.007228
                     58,                 1.4543,                 1.0858,                0.99998,                0.39757,                0.29724,                0.29065,                0.16664,                 1.3864,                 1.0415,                0.96611,              0.0071785,              0.0071785,              0.0071785
                     59,                 1.4622,                 1.0964,                0.99923,                0.38924,                0.30577,                0.29048,                0.16707,                 1.3943,                 1.0449,                0.96496,               0.007129,               0.007129,               0.007129
                     60,                 1.4685,                 1.0983,                0.99701,                0.40558,                0.30349,                0.29244,                0.16945,                 1.3898,                 1.0487,                0.96177,              0.0070795,              0.0070795,              0.0070795
                     61,                 1.4716,                 1.1008,                0.99511,                0.39687,                0.30155,                0.29279,                0.16873,                  1.396,                 1.0499,                0.96139,                0.00703,                0.00703,                0.00703
                     62,                 1.4662,                 1.0988,                0.99153,                0.39479,                0.30328,                0.29362,                0.16897,                 1.3941,                 1.0524,                0.96015,              0.0069805,              0.0069805,              0.0069805
                     63,                  1.473,                 1.1018,                0.99043,                0.40477,                0.29818,                0.29363,                0.16965,                 1.3892,                 1.0467,                 0.9579,               0.006931,               0.006931,               0.006931
                     64,                 1.4816,                 1.1078,                0.99059,                0.40633,                0.30157,                0.29534,                0.17067,                 1.3923,                 1.0494,                0.95683,              0.0068815,              0.0068815,              0.0068815
                     65,                 1.4673,                  1.105,                0.98717,                0.40379,                0.30263,                0.29617,                0.17171,                 1.3885,                 1.0473,                 0.9551,               0.006832,               0.006832,               0.006832
                     66,                 1.4715,                 1.0982,                0.98664,                0.39675,                0.30937,                0.29909,                0.17354,                 1.3876,                 1.0405,                0.95433,              0.0067825,              0.0067825,              0.0067825
                     67,                 1.4633,                 1.0951,                0.98661,                 0.4105,                0.30732,                0.29923,                0.17332,                 1.3855,                 1.0396,                0.95428,               0.006733,               0.006733,               0.006733
                     68,                 1.4593,                  1.088,                0.98394,                0.40986,                0.30723,                0.30102,                0.17402,                 1.3831,                 1.0358,                 0.9532,              0.0066835,              0.0066835,              0.0066835
                     69,                  1.457,                 1.0854,                0.98219,                0.40858,                0.31372,                0.30089,                0.17405,                 1.3832,                 1.0332,                0.95189,               0.006634,               0.006634,               0.006634
                     70,                  1.449,                 1.0789,                0.98031,                0.40604,                0.31222,                0.30041,                 0.1739,                 1.3789,                 1.0307,                0.95049,              0.0065845,              0.0065845,              0.0065845
                     71,                  1.449,                 1.0779,                0.97696,                0.41772,                0.30746,                0.30265,                0.17625,                 1.3761,                 1.0278,                0.94975,               0.006535,               0.006535,               0.006535
                     72,                  1.443,                 1.0768,                0.98044,                0.41229,                 0.3076,                0.30451,                0.17598,                 1.3777,                 1.0259,                0.95027,              0.0064855,              0.0064855,              0.0064855
                     73,                 1.4446,                 1.0747,                0.97829,                0.40668,                0.31339,                0.30276,                0.17555,                 1.3743,                 1.0266,                0.94893,               0.006436,               0.006436,               0.006436
                     74,                 1.4512,                 1.0766,                0.97745,                0.40983,                0.31326,                0.30527,                0.17598,                 1.3738,                 1.0224,                0.94977,              0.0063865,              0.0063865,              0.0063865
                     75,                 1.4395,                 1.0713,                0.97468,                0.40981,                0.31351,                0.30688,                0.17701,                 1.3707,                 1.0214,                0.94814,               0.006337,               0.006337,               0.006337
                     76,                 1.4449,                 1.0698,                0.97568,                0.40918,                 0.3116,                0.30606,                0.17706,                 1.3677,                 1.0204,                0.94705,              0.0062875,              0.0062875,              0.0062875
                     77,                 1.4376,                 1.0634,                0.97567,                   0.41,                0.31722,                0.30769,                0.17889,                 1.3669,                 1.0188,                0.94684,               0.006238,               0.006238,               0.006238
                     78,                 1.4373,                 1.0682,                0.97599,                 0.4092,                0.31564,                 0.3071,                0.17776,                 1.3665,                  1.018,                0.94648,              0.0061885,              0.0061885,              0.0061885
